timestamp_ms,timestamp_iso,source,id,cardinality,address,rssi,x,y,z,notes
1781812881523,"2026-06-18T22:01:21.523+0200","beacon","","-1","D0:D0:03:0F:91:E3","-96","","","","protocol=; name=; serviceData=; manufacturerData=0x0075:4204018060D0D0030F91E3D2D0030F91E201870000000000; adv=1BFF75004204018060D0D0030F91E3D2D0030F91E20187000000000000000000000000000000000000000000000000000000000000000000000000000000"
1781812881527,"2026-06-18T22:01:21.527+0200","beacon","","-1","21:5E:57:2D:C3:75","-97","","","","protocol=; name=; serviceData=; manufacturerData=0x0006:0109202207007C584A7EF2C91ECD46C8571D20B9A429A4DE350ED1; adv=1EFF06000109202207007C584A7EF2C91ECD46C8571D20B9A429A4DE350ED100000000000000000000000000000000000000000000000000000000000000"
1781812881530,"2026-06-18T22:01:21.530+0200","beacon","","-1","F0:A6:21:74:15:5B","-90","","","","protocol=; name=arrive_emi2; serviceData={00005242-0000-1000-8000-00805f9b34fb=4164F0A62174155B0206060000}; manufacturerData=0xFFFF:0215FDA50693A4E24FB1AFCFC6EB07647825271B4CB9C9; adv=0201061AFFFFFF0215FDA50693A4E24FB1AFCFC6EB07647825271B4CB9C90D096172726976655F656D693200101642524164F0A62174155B020606000000"
1781812881587,"2026-06-18T22:01:21.587+0200","beacon","","-1","F7:20:56:9D:E9:D4","-80","","","","protocol=; name=arrive_emi4; serviceData={00005242-0000-1000-8000-00805f9b34fb=4164F720569DE9D40206060000}; manufacturerData=0xFFFF:0215FDA50693A4E24FB1AFCFC6EB07647825271B4CB9C9; adv=0201061AFFFFFF0215FDA50693A4E24FB1AFCFC6EB07647825271B4CB9C90D096172726976655F656D693400101642524164F720569DE9D4020606000000"
1781812881601,"2026-06-18T22:01:21.601+0200","beacon","","-1","C0:46:B3:ED:0C:FC","-80","","","","protocol=; name=arrive_emi3; serviceData={00005242-0000-1000-8000-00805f9b34fb=4164C046B3ED0CFC0206060000}; manufacturerData=0xFFFF:0215FDA50693A4E24FB1AFCFC6EB07647825271B4CB9C9; adv=0201061AFFFFFF0215FDA50693A4E24FB1AFCFC6EB07647825271B4CB9C90D096172726976655F656D693300101642524164C046B3ED0CFC020606000000"
1781812881615,"2026-06-18T22:01:21.615+0200","beacon","","-1","02:1C:49:80:42:F7","-66","","","","protocol=; name=; serviceData=; manufacturerData=0x0006:010920229EE90B72A52B1DCCDDB1F73D1F914038B5E618DE426E0F; adv=1EFF0600010920229EE90B72A52B1DCCDDB1F73D1F914038B5E618DE426E0F00000000000000000000000000000000000000000000000000000000000000"
1781812881645,"2026-06-18T22:01:21.645+0200","beacon","","-1","F0:A6:21:74:15:5B","-87","","","","protocol=; name=arrive_emi2; serviceData={00005242-0000-1000-8000-00805f9b34fb=4164F0A62174155B0206060000}; manufacturerData=0xFFFF:0215FDA50693A4E24FB1AFCFC6EB07647825271B4CB9C9; adv=0201061AFFFFFF0215FDA50693A4E24FB1AFCFC6EB07647825271B4CB9C90D096172726976655F656D693200101642524164F0A62174155B020606000000"
1781812881650,"2026-06-18T22:01:21.650+0200","beacon","","-1","50:B2:D5:C7:99:FA","-95","","","","protocol=; name=LE_WH-1000XM5; serviceData={0000fe2c-0000-1000-8000-00805f9b34fb=00701ED1318573556321AB85}; manufacturerData=0x012D:04000202B0310701C7A60A822310020033230000; adv=020AF00F162CFE00701ED1318573556321AB85030282FD17FF2D0104000202B0310701C7A60A822310020033230000000000000000000000000000000000"
1781812881697,"2026-06-18T22:01:21.697+0200","beacon","","-1","18:49:D7:75:2D:B7","-45","","","","protocol=; name=; serviceData={0000fcf1-0000-1000-8000-00805f9b34fb=04DCFC0496E13C89EB9C1CCB07414E38D3AC8C6FEC}; manufacturerData=; adv=0201021816F1FC04DCFC0496E13C89EB9C1CCB07414E38D3AC8C6FEC00000000000000000000000000000000000000000000000000000000000000000000"
1781812881706,"2026-06-18T22:01:21.706+0200","beacon","","-1","F7:20:56:9D:E9:D4","-80","","","","protocol=; name=arrive_emi4; serviceData={00005242-0000-1000-8000-00805f9b34fb=4164F720569DE9D40206060000}; manufacturerData=0xFFFF:0215FDA50693A4E24FB1AFCFC6EB07647825271B4CB9C9; adv=0201061AFFFFFF0215FDA50693A4E24FB1AFCFC6EB07647825271B4CB9C90D096172726976655F656D693400101642524164F720569DE9D4020606000000"
