timestamp_ms,timestamp_iso,source,id,cardinality,address,rssi,x,y,z,notes
1781812473385,"2026-06-18T21:54:33.385+0200","beacon","","-1","05:3A:05:10:AA:B1","-64","","","","protocol=; name=; serviceData={0000fcf1-0000-1000-8000-00805f9b34fb=0467F29C485C070F67FF6D53A4B68BDDAB0B904380}; manufacturerData=; adv=0201021816F1FC0467F29C485C070F67FF6D53A4B68BDDAB0B90438000000000000000000000000000000000000000000000000000000000000000000000"
1781812473386,"2026-06-18T21:54:33.386+0200","beacon","","-1","05:3A:05:10:AA:B1","-64","","","","protocol=; name=; serviceData={0000fcf1-0000-1000-8000-00805f9b34fb=0467F29C485C070F67FF6D53A4B68BDDAB0B904380}; manufacturerData=; adv=0201021816F1FC0467F29C485C070F67FF6D53A4B68BDDAB0B90438000000000000000000000000000000000000000000000000000000000000000000000"
1781812473507,"2026-06-18T21:54:33.507+0200","beacon","","-1","05:B5:5C:D2:93:75","-87","","","","protocol=; name=; serviceData=; manufacturerData=0x0006:010920229A16FA073E778BF38C53D9AC443F85DB7179DE06BCD6B3; adv=1EFF0600010920229A16FA073E778BF38C53D9AC443F85DB7179DE06BCD6B300000000000000000000000000000000000000000000000000000000000000"
1781812473508,"2026-06-18T21:54:33.508+0200","beacon","","-1","05:B5:5C:D2:93:75","-87","","","","protocol=; name=; serviceData=; manufacturerData=0x0006:010920229A16FA073E778BF38C53D9AC443F85DB7179DE06BCD6B3; adv=1EFF0600010920229A16FA073E778BF38C53D9AC443F85DB7179DE06BCD6B300000000000000000000000000000000000000000000000000000000000000"
1781812473520,"2026-06-18T21:54:33.520+0200","beacon","","-1","30:4E:BE:31:A6:45","-90","","","","protocol=; name=; serviceData=; manufacturerData=0x0006:01092022E61D3C863BCFA40CF5BB653FD22BD8A0972D5A95B8C9C4; adv=1EFF060001092022E61D3C863BCFA40CF5BB653FD22BD8A0972D5A95B8C9C400000000000000000000000000000000000000000000000000000000000000"
1781812473521,"2026-06-18T21:54:33.521+0200","beacon","","-1","30:4E:BE:31:A6:45","-90","","","","protocol=; name=; serviceData=; manufacturerData=0x0006:01092022E61D3C863BCFA40CF5BB653FD22BD8A0972D5A95B8C9C4; adv=1EFF060001092022E61D3C863BCFA40CF5BB653FD22BD8A0972D5A95B8C9C400000000000000000000000000000000000000000000000000000000000000"
1781812473674,"2026-06-18T21:54:33.674+0200","beacon","","-1","05:3A:05:10:AA:B1","-56","","","","protocol=; name=; serviceData={0000fcf1-0000-1000-8000-00805f9b34fb=0467F29C485C070F67FF6D53A4B68BDDAB0B904380}; manufacturerData=; adv=0201021816F1FC0467F29C485C070F67FF6D53A4B68BDDAB0B90438000000000000000000000000000000000000000000000000000000000000000000000"
1781812473675,"2026-06-18T21:54:33.675+0200","beacon","","-1","05:3A:05:10:AA:B1","-56","","","","protocol=; name=; serviceData={0000fcf1-0000-1000-8000-00805f9b34fb=0467F29C485C070F67FF6D53A4B68BDDAB0B904380}; manufacturerData=; adv=0201021816F1FC0467F29C485C070F67FF6D53A4B68BDDAB0B90438000000000000000000000000000000000000000000000000000000000000000000000"
1781812473675,"2026-06-18T21:54:33.675+0200","beacon","","-1","2C:CE:40:CD:93:8C","-87","","","","protocol=; name=; serviceData=; manufacturerData=0x0006:010920225B46D18BA4204B1C6159E00F7D2C15136D2DA860E1CE63; adv=1EFF0600010920225B46D18BA4204B1C6159E00F7D2C15136D2DA860E1CE6300000000000000000000000000000000000000000000000000000000000000"
1781812473676,"2026-06-18T21:54:33.676+0200","beacon","","-1","2C:CE:40:CD:93:8C","-87","","","","protocol=; name=; serviceData=; manufacturerData=0x0006:010920225B46D18BA4204B1C6159E00F7D2C15136D2DA860E1CE63; adv=1EFF0600010920225B46D18BA4204B1C6159E00F7D2C15136D2DA860E1CE6300000000000000000000000000000000000000000000000000000000000000"
1781812473677,"2026-06-18T21:54:33.677+0200","beacon","","-1","AC:37:43:88:19:33","-82","","","","protocol=; name=HTC BS 339538; serviceData=; manufacturerData=; adv=020105030300CB0E0948544320425320333339353338020A0400000000000000000000000000000000000000000000000000000000000000000000000000"
1781812473678,"2026-06-18T21:54:33.678+0200","beacon","","-1","AC:37:43:88:19:33","-82","","","","protocol=; name=HTC BS 339538; serviceData=; manufacturerData=; adv=020105030300CB0E0948544320425320333339353338020A0400000000000000000000000000000000000000000000000000000000000000000000000000"
1781812473831,"2026-06-18T21:54:33.831+0200","beacon","","-1","08:C9:6A:84:B1:FE","-91","","","","protocol=; name=; serviceData=; manufacturerData=0x0006:010920226CD4222F59970416BE9341C17E7F73A23C8F687877A3AA; adv=1EFF0600010920226CD4222F59970416BE9341C17E7F73A23C8F687877A3AA00000000000000000000000000000000000000000000000000000000000000"
1781812473833,"2026-06-18T21:54:33.833+0200","beacon","","-1","08:C9:6A:84:B1:FE","-91","","","","protocol=; name=; serviceData=; manufacturerData=0x0006:010920226CD4222F59970416BE9341C17E7F73A23C8F687877A3AA; adv=1EFF0600010920226CD4222F59970416BE9341C17E7F73A23C8F687877A3AA00000000000000000000000000000000000000000000000000000000000000"
1781812473992,"2026-06-18T21:54:33.992+0200","beacon","","-1","AC:37:43:88:19:33","-82","","","","protocol=; name=HTC BS 339538; serviceData=; manufacturerData=; adv=020105030300CB0E0948544320425320333339353338020A0400000000000000000000000000000000000000000000000000000000000000000000000000"
1781812473994,"2026-06-18T21:54:33.994+0200","beacon","","-1","AC:37:43:88:19:33","-82","","","","protocol=; name=HTC BS 339538; serviceData=; manufacturerData=; adv=020105030300CB0E0948544320425320333339353338020A0400000000000000000000000000000000000000000000000000000000000000000000000000"
1781812474117,"2026-06-18T21:54:34.117+0200","beacon","","-1","F3:6E:C9:45:67:45","-93","","","","protocol=; name=arrive_emi1; serviceData={00005242-0000-1000-8000-00805f9b34fb=4163F36EC94567450206060000}; manufacturerData=0xFFFF:0215FDA50693A4E24FB1AFCFC6EB07647825271B4CB9C9; adv=0201061AFFFFFF0215FDA50693A4E24FB1AFCFC6EB07647825271B4CB9C90D096172726976655F656D693100101642524163F36EC9456745020606000000"
